Season,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,DB_clusters
2018,Divock Origi,be BEL,FW,23,4.1,3,13,6,46.2,3.15,1.46,0.23,0.5,16.2,1,0,0,2.3,2.3,0.17,0.7,0.7,-1
2018,Alberto Moreno,es ESP,DF,26,1.7,0,1,0,0.0,0.58,0.0,0.0,0.0,28.2,0,0,0,0.0,0.0,0.02,0.0,0.0,0
2018,Nathaniel Clyne,eng ENG,DF,27,1.2,0,3,1,33.3,2.43,0.81,0.0,0.0,29.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,-1
2018,Alex Oxlade-Chamberlain,eng ENG,MF,24,0.2,0,1,1,100.0,4.29,4.29,0.0,0.0,9.8,0,0,0,0.3,0.3,0.3,-0.3,-0.3,-1
2018,Rafael Camacho,pt POR,DF,18,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2019,Virgil van Dijk,nl NED,DF,28,38.0,5,30,14,46.7,0.79,0.37,0.17,0.36,11.3,0,0,0,2.9,2.9,0.1,2.1,2.1,0
2019,Trent Alexander-Arnold,eng ENG,DF,20,35.3,4,44,13,29.5,1.25,0.37,0.09,0.31,22.6,12,0,0,2.8,2.8,0.06,1.2,1.2,-1
2019,Georginio Wijnaldum,nl NED,MF,28,32.6,4,36,15,41.7,1.1,0.46,0.11,0.27,15.1,0,0,0,3.1,3.1,0.09,0.9,0.9,0
2019,Andrew Robertson,sct SCO,DF,25,34.6,2,20,6,30.0,0.58,0.17,0.1,0.33,17.7,0,0,0,1.6,1.6,0.08,0.4,0.4,0
2019,Roberto Firmino,br BRA,FW,27,33.2,9,100,37,37.0,3.01,1.11,0.09,0.24,13.3,0,0,0,13.5,13.5,0.13,-4.5,-4.5,-1
2019,Mohamed Salah,eg EGY,FW,27,32.0,19,130,56,43.1,4.07,1.75,0.12,0.29,14.8,4,3,3,19.4,17.2,0.13,-0.4,-1.2,-1
2019,Sadio Mané,sn SEN,FW,27,30.5,18,76,36,47.4,2.49,1.18,0.24,0.5,13.0,0,0,0,13.8,13.8,0.19,4.2,4.2,-1
2019,Alisson,br BRA,GK,26,28.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2019,Jordan Henderson,eng ENG,MF,29,24.9,4,20,8,40.0,0.8,0.32,0.2,0.5,18.5,0,0,0,1.4,1.4,0.07,2.6,2.6,0
2019,Fabinho,br BRA,MF,25,23.1,2,12,4,33.3,0.52,0.17,0.17,0.5,26.7,2,0,0,0.4,0.4,0.03,1.6,1.6,-1
2019,Joe Gomez,eng ENG,DF,22,22.3,0,1,0,0.0,0.04,0.0,0.0,0.0,30.0,0,0,0,0.0,0.0,0.02,0.0,0.0,0
2019,Alex Oxlade-Chamberlain,eng ENG,MF,25,16.5,4,40,10,25.0,2.42,0.61,0.1,0.4,22.0,0,0,0,2.9,2.9,0.07,1.1,1.1,0
2019,James Milner,eng ENG,MF,33,10.4,2,10,1,10.0,0.96,0.1,0.0,0.0,24.7,0,2,2,2.1,0.6,0.06,-0.1,-0.6,-1
2019,Adrián,es ESP,GK,32,9.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2019,Naby Keïta,gn GUI,MF,24,9.1,2,12,7,58.3,1.33,0.77,0.17,0.29,18.4,0,0,0,1.5,1.5,0.13,0.5,0.5,0
2019,Dejan Lovren,hr CRO,DF,30,8.6,0,5,1,20.0,0.58,0.12,0.0,0.0,8.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,0
2019,Joël Matip,cm CMR,DF,27,7.8,1,4,1,25.0,0.51,0.13,0.25,1.0,9.3,0,0,0,0.3,0.3,0.08,0.7,0.7,1
2019,Divock Origi,be BEL,FW,24,8.0,4,14,6,42.9,1.76,0.75,0.29,0.67,15.9,0,0,0,2.2,2.2,0.16,1.8,1.8,-1
2019,Adam Lallana,eng ENG,MF,31,4.2,1,5,1,20.0,1.18,0.24,0.2,1.0,15.3,0,0,0,1.1,1.1,0.21,-0.1,-0.1,1
2019,Neco Williams,wls WAL,DF,18,2.6,0,7,1,14.3,2.74,0.39,0.0,0.0,21.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,0
2019,Takumi Minamino,jp JPN,FW,24,2.8,0,9,2,22.2,3.25,0.72,0.0,0.0,18.1,0,0,0,1.4,1.4,0.16,-1.4,-1.4,-1
2019,Xherdan Shaqiri,ch SUI,MF,27,2.1,1,4,1,25.0,1.95,0.49,0.25,1.0,19.5,0,0,0,0.6,0.6,0.14,0.4,0.4,1
2019,Curtis Jones,eng ENG,MF,18,1.4,1,6,2,33.3,4.29,1.43,0.17,0.5,16.7,0,0,0,0.9,0.9,0.15,0.1,0.1,-1
2019,Harvey Elliott,eng ENG,DF,16,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2020,Andrew Robertson,sct SCO,DF,26,37.6,1,19,5,26.3,0.51,0.13,0.05,0.2,17.3,0,0,0,1.4,1.4,0.07,-0.4,-0.4,0
2020,Mohamed Salah,eg EGY,FW,28,34.2,22,120,46,38.3,3.51,1.35,0.13,0.35,15.8,1,6,6,20.9,16.4,0.14,1.1,-0.4,-1
