Season,Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Drb_Tkl,Att,Tkl%,Past,Press,Succ,Press%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,DB_clusters
2021,Mohamed Salah,eg EGY,FW,29,30.7,17,7,5,7,5,4,21,19.0,17,448,127,28.3,67,127,254,13,1,0,12,15,32,4,0,-1
2021,Jordan Henderson,eng ENG,MF,31,28.9,37,24,7,26,4,16,47,34.0,31,467,146,31.3,99,257,111,31,3,0,28,43,80,17,0,-1
2021,Andrew Robertson,sct SCO,DF,27,28.2,33,17,14,14,5,14,34,41.2,20,284,86,30.3,85,115,84,43,4,1,39,49,82,58,0,-1
2021,Diogo Jota,pt POR,FW,24,26.3,36,21,14,15,7,10,47,21.3,37,589,164,27.8,98,237,254,19,3,0,16,17,53,6,0,-1
2021,Fabinho,br BRA,MF,27,25.7,57,37,17,33,7,19,62,30.6,43,413,131,31.7,126,225,62,51,10,0,41,56,113,30,0,-1
2021,Thiago Alcántara,es ESP,MF,30,17.0,58,40,17,31,10,12,40,30.0,28,319,117,36.7,86,163,70,26,2,0,24,35,93,18,2,-1
2021,Naby Keïta,gn GUI,MF,26,13.0,47,28,19,19,9,18,35,51.4,17,321,107,33.3,74,161,86,24,2,0,22,20,67,4,0,-1
2021,Ibrahima Konaté,fr FRA,DF,22,11.0,14,8,6,7,1,3,7,42.9,4,86,23,26.7,44,36,6,15,10,1,5,28,42,47,0,-1
2021,Luis Díaz,co COL,FW,24,10.6,12,10,4,4,4,3,10,30.0,7,163,59,36.2,26,64,73,9,1,0,8,4,16,2,0,2
2021,Roberto Firmino,br BRA,FW,29,11.0,34,21,5,17,12,4,15,26.7,11,249,85,34.1,32,114,103,20,0,0,20,4,38,3,0,-1
2021,Curtis Jones,eng ENG,MF,20,9.5,12,9,3,8,1,2,9,22.2,7,212,61,28.8,37,116,59,5,0,0,5,10,22,2,0,2
2021,Kostas Tsimikas,gr GRE,DF,25,9.7,20,10,9,6,5,6,16,37.5,10,137,47,34.3,53,45,39,15,2,0,13,14,34,22,0,2
2021,James Milner,eng ENG,MF,35,9.5,35,23,15,15,5,15,35,42.9,20,172,68,39.5,37,93,42,20,6,0,14,22,57,22,0,-1
2021,Alex Oxlade-Chamberlain,eng ENG,MF,27,8.7,17,14,3,7,7,5,13,38.5,8,172,63,36.6,26,76,70,11,3,0,8,8,25,7,0,2
2021,Harvey Elliott,eng ENG,MF,18,3.8,3,1,1,0,2,1,7,14.3,6,94,21,22.3,21,50,23,9,1,0,8,3,6,4,0,2
2021,Joe Gomez,eng ENG,DF,24,3.7,7,4,5,0,2,2,6,33.3,4,42,16,38.1,18,16,8,3,1,0,2,12,19,8,0,2
2021,Caoimhín Kelleher,ie IRL,GK,22,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2
2021,Takumi Minamino,jp JPN,FW,26,2.1,3,2,1,1,1,2,11,18.2,9,64,22,34.4,4,34,26,1,0,0,1,3,6,1,0,2
2021,Tyler Morton,eng ENG,MF,18,0.7,0,0,0,0,0,0,2,0.0,2,12,4,33.3,1,9,2,0,0,0,0,2,2,0,0,2
2021,Divock Origi,be BEL,FW,26,1.5,0,0,0,0,0,0,3,0.0,3,29,5,17.2,2,16,11,2,0,0,2,3,3,1,0,2
2021,Kaide Gordon,eng ENG,FW,16,0.1,1,0,0,0,1,1,1,100.0,0,6,3,50.0,0,1,5,0,0,0,0,0,1,0,0,-1
2021,Neco Williams,wls WAL,DF,20,0.1,0,0,0,0,0,0,0,0.0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,2
