season,Player,Nation,Pos,Age,90s,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,xG,npxG,xA,xG_90,xA_90,xG+xA_90,npxG_90,DB_clusters
2018,Nathaniel Clyne,eng ENG,DF,27,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.04,0.0,0.04,0.04,0
2018,Alex Oxlade-Chamberlain,eng ENG,MF,24,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,1.29,0.1,1.38,1.29,0
2018,Rafael Camacho,pt POR,DF,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019,Virgil van Dijk,nl NED,DF,28,38.0,5.0,1.0,5.0,0.0,1.0,0.0,0.13,0.03,0.16,0.13,2.9,2.9,1.3,0.08,0.03,0.11,0.08,0
2019,Trent Alexander-Arnold,eng ENG,DF,20,35.3,4.0,13.0,4.0,0.0,5.0,0.0,0.11,0.37,0.48,0.11,2.8,2.8,9.9,0.08,0.28,0.36,0.08,0
2019,Georginio Wijnaldum,nl NED,MF,28,32.6,4.0,0.0,4.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,3.1,3.1,1.2,0.09,0.04,0.13,0.09,0
2019,Andrew Robertson,sct SCO,DF,25,34.6,2.0,12.0,2.0,0.0,2.0,0.0,0.06,0.35,0.41,0.06,1.6,1.6,7.6,0.05,0.22,0.27,0.05,0
2019,Roberto Firmino,br BRA,FW,27,33.2,9.0,8.0,9.0,0.0,0.0,0.0,0.27,0.24,0.51,0.27,13.5,13.5,6.3,0.41,0.19,0.59,0.41,1
2019,Mohamed Salah,eg EGY,FW,27,32.0,19.0,10.0,16.0,3.0,1.0,0.0,0.59,0.31,0.91,0.5,19.4,17.2,7.3,0.61,0.23,0.84,0.54,-1
2019,Sadio Mané,sn SEN,FW,27,30.5,18.0,7.0,18.0,0.0,3.0,0.0,0.59,0.23,0.82,0.59,13.8,13.8,7.3,0.45,0.24,0.69,0.45,1
2019,Alisson,br BRA,GK,26,28.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.04,0.04,0.0,0.0,0.0,0.5,0.0,0.02,0.02,0.0,-1
2019,Jordan Henderson,eng ENG,MF,29,24.9,4.0,5.0,4.0,0.0,2.0,0.0,0.16,0.2,0.36,0.16,1.4,1.4,2.8,0.06,0.11,0.17,0.06,0
2019,Fabinho,br BRA,MF,25,23.1,2.0,3.0,2.0,0.0,6.0,0.0,0.09,0.13,0.22,0.09,0.4,0.4,1.8,0.02,0.08,0.09,0.02,0
